交易日期,涨跌幅
2014-03-31,5.63%
2014-06-30,14.86%
2014-09-30,53.06%
2014-12-31,-2.66%
2015-03-31,58.58%
2015-06-30,68.65%
2015-09-30,-12.5%
2015-12-31,82.34%
2016-03-31,-1.78%
2016-06-30,16.28%
2016-09-30,21.13%
2016-12-31,12.33%
2017-03-31,-5.47%
2017-06-30,-4.91%
2017-09-30,9.18%
2017-12-31,-14.23%
2018-03-31,1.45%
2018-06-30,-7.65%
2018-09-30,-5.8%
2018-12-31,9.77%
2019-03-31,37.24%
2019-06-30,7.84%
2019-09-30,2.01%
2019-12-31,15.36%
2020-03-31,-11.89%
2020-06-30,0.26%
2020-09-30,18.2%
2020-12-31,-7.58%
2021-03-31,-2.05%
2021-06-30,17.5%
2021-09-30,5.46%
2021-12-31,9.89%
2022-03-31,-2.78%
2022-06-30,4.91%
2022-09-30,-3.68%
2022-12-31,19.66%
2023-03-31,14.98%
2023-06-30,9.95%
2023-09-30,14.14%
2023-12-31,6.83%
2024-03-31,-16.29%
2024-06-30,-12.7%
2024-09-30,38.97%
2024-12-31,15.06%
2025-03-31,9.88%
2025-06-30,18.41%
2025-09-30,21.93%
2025-12-31,1.3%
