n,Total Return,Sharpe Ratio,Max Drawdown
5,-1.0,-5.22,-1.0
10,-1.0,-3.18,-1.0
15,-1.0,-2.35,-1.0
20,-1.0,-1.59,-1.0
25,-1.0,-1.35,-1.0
30,-1.0,-1.32,-1.0
35,-1.0,-1.31,-1.0
40,-0.9998,-1.04,-0.9998
45,-0.9995,-0.85,-0.9995
50,-0.9984000000000001,-0.68,-0.9984999999999999
55,-0.9982,-0.66,-0.9982
60,-0.9972,-0.59,-0.9973000000000001
65,-0.9897,-0.37,-0.9906999999999999
70,-0.9684999999999999,-0.19,-0.9723
75,-0.935,-0.08,-0.9436
80,-0.9294,-0.06,-0.9537
85,-0.9214,-0.05,-0.9632
90,-0.9648,-0.18,-0.9754999999999999
95,-0.9467,-0.11,-0.9743
100,-0.9175,-0.04,-0.9723999999999999
105,-0.9318000000000001,-0.07,-0.9712000000000001
110,-0.9699,-0.2,-0.9740000000000001
115,-0.9712000000000001,-0.21,-0.9777
120,-0.9682,-0.19,-0.9731000000000001
125,-0.9670000000000001,-0.19,-0.9783
130,-0.9728,-0.22,-0.9822
135,-0.9881,-0.35,-0.9895
140,-0.9719,-0.21,-0.9799
145,-0.9473999999999999,-0.11,-0.9795999999999999
150,-0.917,-0.04,-0.9634
155,-0.9022,-0.01,-0.9626
160,-0.883,0.02,-0.9625
165,-0.8622,0.04,-0.9656999999999999
170,-0.8484,0.06,-0.955
175,-0.8771,0.03,-0.9593
180,-0.8453,0.06,-0.9462999999999999
185,-0.7937000000000001,0.11,-0.9142
190,-0.767,0.13,-0.914
195,-0.8724,0.03,-0.9178000000000001
200,-0.9085,-0.02,-0.9381
